Release Date,Artist,Album,Label
2025-10-24,The Acacia Strain,You Are Safe From God Here,Rise
2025-10-24,Adept,Blood Covenant,Napalm
2025-10-24,Aduanten,Apocryphal Verse,Nameless Grave
2025-10-24,Aligned In Ruins,Algea EP,Self
2025-10-24,Alkemia,Alkemia EP,Inverse
2025-10-24,Arsenic Kitchen,Handbook For The Recently Deceased EP,Self
2025-10-24,Ars Onirica,2.5 Nighttime EP,Ardua
2025-10-24,Bad Juju,Simulacra EP,Self
2025-10-24,Bad Rain,Louder Than Words,Fastball
2025-10-24,Behölder,Tower Of The Broken God EP,Black Lion
2025-10-24,Bergfried,Romantik III,High Roller
2025-10-24,Blackshape,Prismer I EP,Papercut
2025-10-24,Blaze,Out Through The Door,No Remorse
2025-10-24,Bone Church,Deliverance,Ripple
2025-10-24,Bonginator,Retrodeath,Testimony
2025-10-24,Born Divided,Chronicle Of A Shipwreck,Self
2025-10-24,Brainwave,Ill Intent,Self
2025-10-24,Breath,Brahman,Argonauta
2025-10-24,Cattlemass,Alpha 1128,Seeing Red
2025-10-24,Cemetery Moon,Dominion Of Ashes,Self
2025-10-24,Coldrain,Optimize EP,Century Media
2025-10-24,Conjurer,Unself,Nuclear Blast
2025-10-24,Darah,Holier Than Thou,Underground Syndicate
2025-10-24,Dave Tinelt,Power Of Discretion,Self
2025-10-24,Dawn Fades,III,Self
2025-10-24,Dawnwalker,The Between,Room312
2025-10-24,Dayseeker,Creature In The Black Night,Spinefarm
2025-10-24,Daytripper,The Alchemist EP,Self
2025-10-24,Deez Nuts,Saudade,Century Media
2025-10-24,Deteriorot,Awakening,Xtreem
2025-10-24,Devastrosity,Eviscerating Desolation,Comatose
2025-10-24,Devoid Of Thought,Necrotic Surface Discarded,Avantgarde
2025-10-24,Disarray,The Darkening EP,Jawbreaker
2025-10-24,Disfiguring The Goddess,Galopogos EP,Self
2025-10-24,Distaste,Agoniepositur,FDA
2025-10-24,Doro,Warriors Of The Sea,Rare Diamonds
2025-10-24,Downswing,And Everything Was Dark,MNRK
2025-10-24,Drofnosura,Ritual Of Split Tongues,Transcending Obscurity
2025-10-24,Eldur,Rituals Of Death And Necromancy,ATMF
2025-10-24,Elepharmers,Western Wilderness,Electric Valley
2025-10-24,Elettra Storm,Evertale,Scarlet
2025-10-24,Epistulum,Cantiga Psychotica,Self
2025-10-24,Esprit D'Air,Aeons,Starstorm
2025-10-24,Fatal Portrait,An Elusive Instinct For Lascivia Redvx,Black Lion
2025-10-24,Five Finger Death Punch,20 Years Of Finger Finger Death Punch – Best Of Volume 2,Better Noise
2025-10-24,Glasya,Fear,Scarlet
2025-10-24,Goatfather,House Of The Rising Smoke,Argonauta
2025-10-24,Grandma's Ashes,Bruxism,Verycords
2025-10-24,Grave Girls,Empress Of A Shattered Glass,Self
2025-10-24,Hail The Sun,cut.turn.fade.back.,Equal Vision
2025-10-24,Heavensgate,A Heart Is A Heavy Burden EP,Greyscale
2025-10-24,Heavy Pettin,Rock Generation,Silver Lining
2025-10-24,Helix Noire,Becoming The Cure,Self
2025-10-24,Horse Jumper Of Love,Disaster Trick Deluxe Edition,Run For Cover
2025-10-24,Hostilia,Face The Fire,Hammerheart
2025-10-24,In Lieu,Hooligan,Learning Curve
2025-10-24,In Limine,Inveteratus,Rockshots
2025-10-24,Jet Jaguar,Severance,Steamhammer/SPV
2025-10-24,Juliet Ruin,Regime EP,Self
2025-10-24,Karate Steve,Time Under Tension,Self
2025-10-24,Lacertilia,Transcend,Majestic Mountain
2025-10-24,Lars Fredrik Froislie,Quattro Racconti,Karisma
2025-10-24,Leah Martin-Brown,Love & Other Crimes,Frontiers
2025-10-24,Leprous,An Evening Of Atonement,InsideOut
2025-10-24,Leylines,Sepulchral EP,Self
2025-10-24,The Lunar Effect,Fortune's Always Hiding,Svart
2025-10-24,Maladie,Symptoms V EP,Apostasy
2025-10-24,Mammoth,The End,BMG
2025-10-24,Mastiff,For All The Dead Dreams EP,Church Road
2025-10-24,Mos Generator,Live At Roadburn Festival 2008,Savant Guarde
2025-10-24,Mugger,Want The World EP,Quiet Panic
2025-10-24,The Munsens,Degradation In The Hyperreal,Self
2025-10-24,Necronemesis/Gangrenesia,Putrid Sanctity Split EP,HPGD
2025-10-24,Nine Treasures,Seeking The Absolute,Metal Blade
2025-10-24,Old Year,No Dissent,Apocalyptic Witchcraft
2025-10-24,Our Oceans,Right Here Right Now,Long Branch
2025-10-24,Outerburst,Witchcraft,Self
2025-10-24,P+A+G+E+S,No More Can Be Done,Self
2025-10-24,Përl,Architecture Du Vertige,Self
2025-10-24,Peterified,Trial By Fire,Self
2025-10-24,Phaeton,Neurogenesis,INB
2025-10-24,Ping,Songs From The Nebula,Apollon
2025-10-24,Post Death Soundtrack,Grist,Self
2025-10-24,Psychonaut,World Maker,Pelagic
2025-10-24,Remina,The Silver Sea,Avantgarde
2025-10-24,Reverya,Affliction In Bloom,Self
2025-10-24,Ronnie Romero,Backbone,Frontiers
2025-10-24,Scorching Tomb,Ossuary,Time To Kill
2025-10-24,Scythe Beast,Anthem Of The Rotten,Self
2025-10-24,Secret Rule,X,Rockshots
2025-10-24,Seigmen,Dissonans,Indie
2025-10-24,Seraina Telli,Green,Metalville
2025-10-24,Serj Tankian,"<Covers, Collaborations & Cllages",Serjical Strike
2025-10-24,Shiraz Lane,In Vertigo,Frontiers
2025-10-24,Since April,Rebirth,Self
2025-10-24,Sinister Days,Disconnect Society EP,Self
2025-10-24,Solar Sons,Altitude,Argonauta
2025-10-24,Something Is Waiting,Livelick,Learning Curve
2025-10-24,Soulfly,Chama,Nuclear Blast
2025-10-24,Speed,All My Angels EP,Flatspot
2025-10-24,Spiritual Cramp,Rude,Blue Grape
2025-10-24,Spøgelse,Spøgelse II,Welfare Sounds
2025-10-24,StarAce,Real,Self
2025-10-24,Sumo Cyco,Neon Void,Self
2025-10-24,Takipnik,Awakened,Self
2025-10-24,Thaumaturgy,Pestilential Hymns,Memento Mori
2025-10-24,Them,Psychedelic Enigma,Steamhammer
2025-10-24,Thus Live Humans,Art Deco II,Self
2025-10-24,Torture Hammer,Torture Hammer EP,Creator-Destructor
2025-10-24,Trash Compactor,Trash Compactor EP,Self
2025-10-24,Tuesday The Sky,Indoor Enthusiast,Metal Blade
2025-10-24,Tyson Motsenbocker,Modern Worries,Tooth & Nail
2025-10-24,Under Black Sky,Bad Blood,Self
2025-10-24,Valletta,Bitter Lucid Truth EP,Lifeforce
2025-10-24,Vanguardian,III: Inhumanity,Inverse
2025-10-24,Various Artists,Can't Get Enough: A Tribute To Bad Company,Self
2025-10-24,Vowws,I'll Fill Your House With An Army,Out Of Line
2025-10-24,Wino,Create Or Die,Ripple
2025-10-24,Wrathchild America,Climbin' The Walls Re-Release,Dissonance
2025-10-31,Abominator,The Fire Brethren,Hells Headbangers
2025-10-31,Abysmal Descent,Dismal Thoughts,Nuclear Winter
2025-10-31,Aephanemer,Utopie,Napalm
2025-10-31,All India Radio,The Unified Field,Self
2025-10-31,All Seeing Eyes,We Are The Revolution,Self
2025-10-31,Alpha Destroyer,Fast Lane,Necromantic Press
2025-10-31,Amara,New Exile,Self
2025-10-31,Anna von Hausswolff,Iconoclasts,YEAR0001
2025-10-31,Apep,The Invocation Of The Deathless One Re-Release,Awakening
2025-10-31,Aquilla,Sentinels Of New Dawn,High Roller
2025-10-31,Araphel,The Endchanter,Nuclear War Now!
2025-10-31,Archaic Thorn,Malicious Spears,High Roller
2025-10-31,Artillery & Storm,A Narrow Escape EP,Self
2025-10-31,Asleep At The Helm,Ornate Resentment EP,Self
2025-10-31,Avatar,Don't Go In The Forest,Black Waltz
2025-10-31,Aviana,Void,Arising Empire
2025-10-31,Barren Path,Grieving,Willowtip
2025-10-31,Bastard Cross,Crossripper,Morbid And Miserable
2025-10-31,Believe In Nothing,Rot,Church Road
2025-10-31,Bianca,Bianca,Avantgarde
2025-10-31,Binah,Ónkos,Osmose
2025-10-31,The Black Cat's Eye,Decrypting Dreams Of Weird Animals And Strange Objects,Tonzonen
2025-10-31,Black Cross Hotel,Songs For Switches,SomeoddPilot
2025-10-31,Black Soul Horde,Symphony Of Chaos,Vinyl Store
2025-10-31,Bloody Moon,Lost & Damned,Inverse
2025-10-31,Boum Patat,Ma Belgitude,Wormholedeath
2025-10-31,Burned In Effigy,Tyrannus Aeternum,Self
2025-10-31,Cadaver,Hallucinating Anxiety Re-Release,Listenable
2025-10-31,Cal,Ludzie błądzący w nocy,Fiadh
2025-10-31,Canvas Of Silence,As The World Tree Fell,Rockshots
2025-10-31,Cemican,U k 'u' uk'ankil Mayakaaj,M-Theory
2025-10-31,Chained To The Dead,Something Happened On The Way To Hell,HPGD
2025-10-31,Chat Pile and Hayden Pedigo,In The Earth Again,The Flenser
2025-10-31,Creeper,Sanguivore II: Mistress Of Death,Spinefarm
2025-10-31,Damned By The Pope,Blasphemy Perpetuated,Self
2025-10-31,Damned By The Pope,Decennium Of Damnation EP,Self
2025-10-31,Danheim,Heimferd,Season Of Mist
2025-10-31,Defecto,Echoes Of Isolation,Frontiers
2025-10-31,Demiurgus,Equilibrio,Awakening
2025-10-31,Despised Icon,Shadow Work,Nuclear Blast
2025-10-31,Dodssang Tempel,Hymns From The Chapel Morgue,Cursed Monk
2025-10-31,Dragon,Live In Pain,Self
2025-10-31,Dwelling Below,Wearisome Guardians,Transcending Obscurity
2025-10-31,Electric Bone Rattle,The Descent,Road Rage
2025-10-31,Embraced By Darkness,Ex Inferis,Non Serviam
2025-10-31,Empire Drowns,Endless Nights,Mighty
2025-10-31,Filet-o-Flesh,Inner Piece,Self
2025-10-31,Fir,Het Sinistere Oog EP,Amor Fati
2025-10-31,Flesia,Achterbahnekstase,Cultkill
2025-10-31,A Flying Fish,El Pez Que Volo – Act II,Apollon
2025-10-31,Funeral Harvest,Malum In Se EP,Amor Fati
2025-10-31,Gazpacho,Magic 8-Ball,Kscope
2025-10-31,German Pascual,Beyond Our Comprehension,Roxx
2025-10-31,German Pascual,A New Beginning Re-Release,Roxx
2025-10-31,Going Off,Kill List II EP,Self
2025-10-31,Gumm,Beneath The Wheel,Convulse
2025-10-31,Hammerfilosofi,Signum,Osmose
2025-10-31,Häxär,Teufelskult,Purity Through Fire
2025-10-31,Headwreck,Attitude Adjustment EP,Self
2025-10-31,Heraldic Blaze,Monument Of Will,Purity Through Fire
2025-10-31,Heteropsy,Embalming,Caligari
2025-10-31,Howling Giant,Crucible & Ruin,Magnetic Eye
2025-10-31,Illvilje,La meg sjå alt omkring meg falle,Downfall
2025-10-31,Inception Of Eternity,Shadows In My Mind EP,Darksign
2025-10-31,Infrahumano,Depths Of Suffering,Lavadome
2025-10-31,Kathodos,Parasomnia: Pavor Nocturnus,Rune Serpent
2025-10-31,Kuolemankello,Perkeet,Svart
2025-10-31,Kvad,Sort Skogsmesse,Purity Through Fire
2025-10-31,Laura Cox,Trouble Coming,earMusic/Verycords
2025-10-31,Liminal Spirit,Unwell EP,Self
2025-10-31,Lunatic Soul,The World Under Unsun,InsideOut
2025-10-31,Malakhim,And In Our Hearts The Devil Sings,Iron Bonehead
2025-10-31,Mantah,Antidote,Polde
2025-10-31,Moonspell,Opus Diabolicum,Napalm
2025-10-31,Mystic Circle,Hexenbrand 1486,Rock Of Angels
2025-10-31,Neural Dust,Deus Necare EP,Self
2025-10-31,Newbreed,Outlaw,Selfmadegod
2025-10-31,Night In Gales,Sylphlike EP,Apostasy
2025-10-31,Nowhere2run,What Did You Do? EP,Nowhere
2025-10-31,Nyrak,Phoenix Mortis,Void Wanderer
2025-10-31,ODC,Twisted Love,BLKIIBLK
2025-10-31,One Of Nine,Dawn Of The Iron Shadow,Profound Lore
2025-10-31,Ophidian Coil,Denial Will End You,Trepanation
2025-10-31,Orreaga 778,Heriotza,Katxiska
2025-10-31,Panphage,Trolldom: Hidden Tales,Nordvis
2025-10-31,Paratopias,III: Moirai,Willowtip
2025-10-31,Possessed,Necronomicon,Nuclear Blast
2025-10-31,Power Paladin,Heroism And Might,Atomic Fire
2025-10-31,Pyramid Theorem,Shards Of Echo,Self
2025-10-31,Quality Dre – Quantum Leaps Of Delirium,Quantum Leaps Of Delirium,Scarlet
2025-10-31,Rain-Stained Concrete – Deliverance,Deliverance,Self
2025-10-31,Ramses – Heavy Metal Silence,Heavy Metal Silence,The Sign
2025-10-31,Rebellious – Outlawed & Outborn,Outlawed & Outborn,High Roller
2025-10-31,Relief – Discrepancy,Discrepancy,Willowtip
2025-10-31,Rellik – Kill The Cancer,Kill The Cancer,Self
2025-10-31,Reliqa – Projections,Projections,Blood Blast
2025-10-31,Ringworm – Slum Blesser,Slum Blesser,Relapse
2025-10-31,Rob Tognoni – No Stoppin',No Stoppin',Provogue/Mascot
2025-10-31,Rodan – The Burning,The Burning,Scarlet
2025-10-31,Samsara – Endlessly,Endlessly,InsideOut
2025-10-31,Sanitybreaker – Omnicidal,Omnicidal,Self
2025-10-31,Scales – Omniarch,Omniarch,Blackseed
2025-10-31,Scatalepsy – To The Deep,To The Deep,Comatose
2025-10-31,Schizophrenia – Perpetual Perversion,Perpetual Perversion,Lavadome
2025-10-31,Serpents Of Secrecy – Forgotten Arts,Forgotten Arts,Temple Of Mystery
2025-10-31,Shadow Universe – Tears Of Tomorrow,Tears Of Tomorrow,Metal Warriors/Battle Hymns
2025-10-31,Shelob – Weaving Fate,Weaving Fate,Listenable
2025-10-31,Short Fuse – New Breed,New Breed,Self
2025-10-31,Shrykull – The Infinite Loop Of Memory,The Infinite Loop Of Memory,Black Lion
2025-10-31,Sick N' Beautiful – Cult,Cult,Metal Machine
2025-10-31,Sigils Of Wrath – Insanity + Power,Insanity + Power,Self
2025-10-31,Slomosa – New Grit,New Grit,Stickman
2025-10-31,Solstice – To Sol A Thane,To Sol A Thane,Burning World
2025-10-31,Soltherion – Live In Linköping,Live In Linköping,Black Lodge
2025-10-31,Sonisk Blodbad – Sargfabrik,Sargfabrik,High Roller
2025-10-31,Spirit Adrift – Ghost At The Gallows,Ghost At The Gallows,Century Media
2025-10-31,Stagekiller – Beneath The Boards,Beneath The Boards,Noble Demon
2025-10-31,Stain The Canvas – A Room Of Emptiness,A Room Of Emptiness,Self
2025-10-31,Steak Number Eight – Brawler,Brawler,Self
2025-10-31,The Old Dead Tree,London Sessions EP,Season Of Mist
2025-10-31,The Ominous Circle,Cloven Tongues Of Fire,Osmose
2025-10-31,Pabst,This Is Normal Now,Alcopop!
2025-10-31,Pale Horse Ritual,Diabolic Formation,Black Throne
2025-10-31,Perdition Temple,Malign Apotheosis,Hells Headbangers
2025-10-31,Phobocosm,Gateway,Dark Descent
2025-10-31,Pitchblack,Walking On Burning Ground,Self
2025-10-31,Slôdder,Narcissist,Self
2025-10-31,Soho Dukes,Nighthawks Acrobats And Everything Under The Moon,Cargo
2025-10-31,Starmen,Starmenized II,Melodic Passion
2025-10-31,Steel Arctus,Dreamruler,No Remorse
2025-10-31,Struck A Nerve,Struck A Nerve,Listenable
2025-10-31,Suffering,Things Seen But Always Hidden,Apocalyptic Witchcraft
2025-10-31,Summoning Hellgates,Spear Of Conquest EP,Osmose
2025-10-31,Thermality,Concept 42,Black Lodge
2025-10-31,Thy Disease,United We Fall,Creative Music
2025-10-31,Tickles,Sugar & Plastic Plates,Stolen Body
2025-10-31,Triskelyon,Maelstrom Of Chaos,Moribund
2025-10-31,Unviar,Disglaç,ATMF
2025-10-31,Various Artists,The Downward Spiral Redux,Magnetic Eye
2025-10-31,Vast Pyre,Bleak,Octopus Rising
2025-10-31,Verilehto,Aarnihauta,Inverse
2025-10-31,Will O'Dusk,The Long Lasting Dusk,Diotima
2025-10-31,Yeah Sick!,Your Herbs And Spices Won't Save You Now! EP,Self
2025-12-05,Acheron,Rites Of The Black Mass: The Definitive Edition,Kenyon
2025-12-05,Blood Red Throne,Siltskin,Soulseller
2025-12-05,Burning Death,Burning Death,Caligari
2025-12-05,Darvaza,We Are Him,Terratur
2025-12-05,Deos,Augustus Omnipotens,Wormholedeath
2025-12-05,Discovery Through Torment,Telesynthetic Rebirth EP,Self
2025-12-05,Enthroned,Ashspawn,Season Of Mist
2025-12-05,Eshtadur,Symphonic Crows – Live At The Santiago Londono's Theater,Self
2025-12-05,Final Coil,The World We Inherited 2025,Self
2025-12-05,Hayward x Dälek,Hayward x Dälek,Relapse
2025-12-05,Inner Shrine,The Last Emperor,Self
2025-12-05,Jester Majesty,Infinite Measure Finite Existence,Xtreem
2025-12-05,Long Distance Calling,Live At Lichtburg,earMusic
2025-12-05,Malemort/Cerbere,Aimless/Glace Mere Split,Self
2025-12-05,Mayhem,Grand Declaration Of War 25th Anniversary Vinyl Edition,Season Of Mist
2025-12-05,MC50,10 More,earMusic
2025-12-05,Sepulchral,Beneath The Shroud,Soulseller
2025-12-05,Skogskult,Skogskult,Bonebag
2025-12-05,Sorewind,Espanto EP,Cursed Monk
2025-12-05,Svntarer,Exitus Triumphalis,FDA
2025-12-05,Vrimuot,Lupus Viridis,Prophecy
2025-12-05,Witness Chamber,Bronze Gates,Brain Floss
2025-12-05,Wounded In Forest,Antihuman Artist EP,Inverse
2025-12-12,Abbie Falls,Life Is Just A Temporary Plan,Out Of Line
2025-12-12,Azketem,Amid,Darkness Shall Rise
2025-12-12,Bygone,Bygone,Svart
2025-12-12,CoreLeoni,Live At Hallenstadion Zurich,Perception
2025-12-12,Dawn Of The Dark Age,Ver Sacrum,My Kingdom
2025-12-12,Der Rote Milan,Verlust,Unholy Conspiracy Deathwork
2025-12-12,Dizzy,Yard Sale,Punkerton
2025-12-12,Fanatisme,Tro håp og kjærlighet,Fysisk Format
2025-12-12,Glasgow Kiss,Down In Flames,Eclipse
2025-12-12,Graham Bonnet Band,Lost In Hollywood Again,Frontiers
2025-12-12,The Harbinger,Gates Of Hell EP,Inverse
2025-12-12,House By The Cemetary,Disturbing The Cenotaph,Pulverised
2025-12-12,Jimi Jamison,1998 Live Hits,Frontiers
2025-12-12,Jim Peterik & World Stage,River Of Music: The Power Of Duets Vol. 1,Frontiers
2025-12-12,Khepra,Anatomy Of Sin,Theogonia
2025-12-12,Lord Of The Lost,Opvs Noir Vol. 2,Napalm
2025-12-12,Lust Of Decay,Entombed In Sewage,Comatose
2025-12-12,Martrod,Draumsýnir eldsins,Debemur Morti
2025-12-12,Nattradio,The Longest Night,Darkness Shall Rise
2025-12-12,Pedestal For Leviathan,Enter: Vampyric Manifestation,Personal
2025-12-12,Phantom Corporation,Time And Tide,Supreme Chaos
2025-12-12,Pincer,Who Are You When No One's Around,Greyscale/1126
2025-12-12,The Pineapple Thief,Retracing Our Steps (2007-2014) Box Set,Kscope
2025-12-12,Rob Moratti,Sovereign,Frontiers
2025-12-12,Sacred Leather,Keep The Fire Burning,King Volume/Wise Blood
2025-12-12,Second Harbour,Coalesce EP,SharpTone
2025-12-12,Sun Of The Suns,Entanglement,Scarlet
2025-12-12,Tenebro,Una Lama D'Argento,Time To Kill
2025-12-12,Trouble,Trouble Re-Release,Hammerheart
2025-12-12,Zero 9:36,They Were Always Here EP,OneRPM
2025-12-19,Dead Sun,This Life Is A Grave,Emanzipation
2025-12-19,Funeral Vomit,Upheaval Of Necromancy,Xtreem
2025-12-19,Hagzissa,Revelry Of A Mistreated Jade EP,Iron Bonehead
2025-12-19,Hexagraf,Walsen Van Hoop,Void Wanderer
2025-12-19,The Losts,Venom Within,Inverse
2025-12-19,Olde Outlier,From Shallow Lives To Shallow Graves,Iron Bonehead
2025-12-19,Sacrifice,Tears Re-Release,Relics From The Crypt
2025-12-19,Scheitan,Wine For A Tormented Soul,The Circle
2025-12-19,Trold,Til Gilde Under Ulven (Live At Copenhell '25),Mighty
2025-12-19,Túmulo,Evangelho do Canhoto,Caverna Abismal
2025-12-26,Noirsuaire,The Dragging Poison,Osmose
2025-12-26,St. Unholyness,Through High Holy Haze,Self
2026-01-02,Ellende,Zerfall,AOP
2026-01-02,Paleface Swiss,The Wilted EP,Self
2026-01-09,Alter Bridge,Alter Bridge,Napalm
2026-01-09,Beyond The Black,Break The Silence,Nuclear Blast
2026-01-09,Bullet,Kickstarter,Steamhammer
2026-01-09,Calling All Captains,The Things That I've Lost EP,New Damage
2026-01-09,Deadwood,Rituals Of A Dying Light EP,Innerstrength
2026-01-09,Krushor,Taste Of Hatred EP,Inverse
2026-01-09,The Protomen,Act III: This City Made Us,Self
2026-01-09,Redivider,Sounds Of Malice,Self
2026-01-09,Semper Acerbus,Following Omens,Eclipse
2026-01-09,Zu,Ferrum Sidereum,House Of Mythology
2026-01-16,Arcanum Sanctum,Pax EP,Self
2026-01-16,Death Cult,Paradise Live,Beggars Banquet
2026-01-16,Dvm Spiro,MMXXVI – Grave,My Kingdom
2026-01-16,Edenbridge,Set The Dark On Fire,Steamhammer/SPV
2026-01-16,Funeral Home,Your Funeral,Inverse
2026-01-16,Gluecifer,Same Drug New High,Steamhammer/SPV
2026-01-16,Hyperion,Cybergenesis,Fighter
2026-01-16,Kreator,Krushers Of The World,Nuclear Blast
2026-01-16,Marianas Rest,The Bereaved,Noble Demon
2026-01-16,Ov Sulfur,Endless,Century Media
2026-01-16,Soen,Reliance,Silver Lining
2026-01-16,Soulbound,sYn,Metalville
2026-01-16,Total Annihilation,Mountains Of Madness,Testimony
2026-01-16,Vesseles,Home,Self
2026-01-16,Viserion,Fire And Blood,Self
2026-01-23,Dreamkillers,Proiphys Cunninghamii,XMusic
2026-01-23,Elwood Stray,Descending,Out Of Line
2026-01-23,Sky Valley Mistress,Luna Mausoleum,New Heavy Sounds
2026-01-23,Spiral Fracture,Grace In Decay,Wormholedeath
2026-01-30,Course Of Fate,Behind The Eclipse,ROAR
2026-01-30,Crystal Lake,The Weight Of Sound,Century Media
2026-01-30,Hällas,Panorama,Aventyr
2026-01-30,Hellmaze,Dead Flesh Rising,Cornhole
2026-01-30,Profane Elegy,Herezjarcha,Self
2026-01-30,Shields,Death & Connection,Long Branch
2026-01-30,Summer Of Hate,Blood & Honey,Tee Pee
2026-01-30,Urne,Setting Fire To The Sky,Spinefarm
2026-02-06,Agenbite Misery,Remorse Of Conscience,Self
2026-02-06,All The Damn Vampires,Vicecore,Self
2026-02-06,Ashes Awaken,Rise,MTS
2026-02-06,Epinikion,The Force Of Nature,Dr. Music
2026-02-06,Induction,Love Kills,Reigning Phoenix
2026-02-06,Karnivool,In Verses,Cymatic
2026-02-06,Magnadur,Shaman Lord,Metal Madness
2026-02-06,Puscifer,Normal Isn't<,BMG
2026-02-06,Wicked Smile,When Night Falls,Self
2026-02-13,Angel Du$t,Cold 2 The Touch,Run For Cover
2026-02-20,Amongruins,Advent Of Chaos,Theogonia
2026-02-20,Clawfinger,Before We All Die,Perception
2026-02-20,Dissentience,Kaiju EP,Self
2026-02-20,The Magus,Daemonosophia,The Circle
