Release Date,Artist,Album,Label
2026-02-20,Michael Monroe,Outerstellar,Silver Lining
2026-02-20,The Veer Union,Reinvention,Arising Empire
2026-02-27,Blackwater Drowning,Obscure Sorrows,Bleeding Art Collective
2026-02-27,Rob Zombie,The Great Satan,Nuclear Blast
2026-03-06,Full House Brew Crew,Glasgow Grin,ROAR
2026-03-06,Oathbound,Colors In Grey,Eclipse
2026-03-13,Against I,Anti Life,Twisted Flesh
2026-03-13,Schattenmann,Besser als der Rest,Perception
2026-03-20,Gaerea,Loss,Century Media
2026-03-20,Ignescent,Eternal,Frontiers
2026-03-20,Persecutor,Casualties Of Violence,Self
2026-03-27,Chez Kane,Reckless,Frontiers
Release Date,Artist,Album,Label
2025-01-03,Paleface Swiss,Cursed,
2025-01-06,Dreadnaught,Shutdown in a Heartbeat,
2025-01-10,Ex Deo,Year of the Four Emperors (EP),
2025-01-10,The Halo Effect,March of the Unheard,
2025-01-10,Stick to Your Guns,Keep Planting Flowers,
2025-01-10,Tremonti,The End Will Show Us How,
2025-01-17,Dark Fortress,Anthems from Beyond the Grave (live album),
2025-01-17,Eidola,Mend,
2025-01-17,Grave Digger,Bone Collector,
2025-01-17,Necrodeath,Arimortis,
2025-01-17,Tokyo Blade,Time Is the Fire,
2025-01-22,Nemophila,Apple of My Eye,
2025-01-24,Avatarium,"Between You, God, the Devil and the Dead",
2025-01-24,Blacktoothed,Headway,
2025-01-24,Bonfire,Higher Ground,
2025-01-24,Bumblefoot,Bumblefoot ...Returns!,
2025-01-24,Dax Riggs,7 Songs for Spiders,
2025-01-24,Harakiri for the Sky,Scorched Earth,
2025-01-24,Labyrinth,In the Vanishing Echoes of Goodbye,
2025-01-24,Oni,Genesis (EP),
2025-01-24,Riverside,Live ID. (live album),
2025-01-24,Thin Lizzy,Acoustic Sessions,
2025-01-30,Enterprise Earth,Descent Into Madness,
2025-01-31,All That Remains,Antifragile,
2025-01-31,Confess,Destination Addiction,
2025-01-31,Pentagram,Lightning in a Bottle,
2025-01-31,Revenge,Violation.Strife.Abominate,
2025-01-31,Thomas Erak,(AU),
2025-02-07,16,Guides for the Misguided,
2025-02-07,Dream Theater,Parasomnia,
2025-02-07,Impending Doom,Towards the Light (EP),
2025-02-07,Jinjer,Duél,
2025-02-07,Majestica,Power Train,
2025-02-07,Marko Hietala,Roses from the Deep,
2025-02-07,Obscura,A Sonication,
2025-02-10,Septicflesh,Amphibians (EP),
2025-02-14,Bleeding Through,Nine,
2025-02-14,Church Tongue,You'll Know It Was Me (EP),
2025-02-14,Crazy Lixx,Thrill of the Bite,
2025-02-14,Dawn of Solace,Affliction Vortex,
2025-02-14,Dynazty,Game of Faces,
2025-02-14,Lacuna Coil,Sleepless Empire,
2025-02-14,Mantar,Post Apocalyptic Depression,
2025-02-14,Raven,Can't Take Away the Fire (EP),
2025-02-14,Scorpion Child,I Saw the End as It Passed Right Through Me,
2025-02-14,Twiztid,Welcome to Your Funeral,
2025-02-14,With Blood Comes Cleansing,With Blood Comes Cleansing,
2025-02-18,A Day to Remember,Big Ole Album Vol. 1,
2025-02-21,David Lee Roth,The Warner Recordings 1985–1994 (box set),
2025-02-21,Killswitch Engage,This Consequence,
2025-02-21,Nachtblut,Todschick,
2025-02-21,Pissgrave,Malignant Worthlessness,
2025-02-21,Sacrifice,Volume Six,
2025-02-21,Scour,Gold,
2025-02-28,Architects,"The Sky, the Earth & All Between",
2025-02-28,Arion,The Light That Burns the Sky,
2025-02-28,Avantasia,Here Be Dragons,
2025-02-28,Brainstorm,Plague of Rats,
2025-02-28,Cloakroom,Last Leg of the Human Table,
2025-02-28,Dirkschneider,Balls to the Wall – Reloaded (covers album),
2025-02-28,Enemy Inside,Venom,
2025-02-28,Eric Bass,I Had a Name,
2025-02-28,Hirax,Faster than Death,
2025-02-28,Master,40 Years and Killing (EP),
2025-02-28,Robin McAuley,Soulbound,
2025-03-01,Love/Hate,Punk Rock Fiesta!,
2025-03-04,Avulsed,Phoenix Cryptobiosis,
2025-03-06,Raging Speedhorn,Night Wolf,
2025-03-07,Balance Breach,Save Our Souls,
2025-03-07,Carnal Forge,The Fractured Process (EP),
2025-03-07,Christian Mistress,Children of the Earth,
2025-03-07,Destruction,Birth of Malice,
2025-03-07,Edge of Paradise,Prophecy,
2025-03-07,Lacrimosa,Lament,
2025-03-07,Rainbows Are Free,Silver and Gold,
2025-03-07,Sadist,Something to Pierce,
2025-03-07,Spiritbox,Tsunami Sea,
2025-03-07,Whitechapel,Hymns in Dissonance,
2025-03-07,The Wildhearts,Satanic Rites of the Wildhearts,
2025-03-14,Coheed and Cambria,Vaxis – Act III: The Father of Make Believe,
2025-03-14,Dead Rabbitts,Redefined,
2025-03-14,Heathen,Bleed the World: Live (live album),
2025-03-14,Manntra,Titans,
2025-03-14,Nightstalker,Return from the Point of No Return,
2025-03-14,Purified in Blood,Primal Pulse Thunder,
2025-03-14,Red Fang,Deep Cuts (compilation album),
2025-03-14,Ricky Warwick,Blood Ties,
2025-03-14,Rwake,The Return of Magik,
2025-03-14,Simon McBride,Recordings 2020–2025,
2025-03-14,Temperance,From Hermitage to Europe (live album),
2025-03-14,Warbringer,Wrath and Ruin,
2025-03-21,Bloodywood,Nu Delhi,
2025-03-21,Cradle of Filth,The Screaming of the Valkyries,
2025-03-21,Disarmonia Mundi,The Dormant Stranger,
2025-03-21,Drudkh,Shadow Play,
2025-03-21,Imperial Triumphant,Goldstar,
2025-03-21,Lordi,Limited Deadition,
2025-03-21,Molotov Solution,Void (EP),
2025-03-21,Pop Evil,What Remains,
2025-03-21,Psyclon Nine,And Then Oblivion,
2025-03-21,Rush,Rush 50 (box set),
2025-03-21,Soul Demise,Against the Abyss,
2025-03-28,Alien Weaponry,Te Rā,
2025-03-28,Amenra,De Toorn,
2025-03-28,Arch Enemy,Blood Dynasty,
2025-03-28,The Darkness,Dreams on Toast,
2025-03-28,Deafheaven,Lonely People with Power,
2025-03-28,Don Airey,Pushed to the Edge,
2025-03-28,Judicator,Concord,
2025-03-28,Memphis May Fire,Shapeshifter,
2025-03-28,Ministry,The Squirrely Years Revisited,
2025-03-28,Sick Puppies,Wave the Bull,
2025-03-28,Svartsyn,Vortex of the Destroyer,
2025-03-28,Teitanblood,From the Visceral Abyss,
2025-03-28,Underoath,The Place After This One,
2025-04-04,Allegaeon,The Ossuary Lens,
2025-04-04,Benediction,Ravage of Empires,
2025-04-04,Bleed from Within,Zenith,
2025-04-04,L.A. Guns,Leopard Skin,
2025-04-04,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Death Hilarious,
2025-04-04,Rotting Christ,35 Years of Evil Existence – Live in Lycabettus (live album),
2025-04-04,Thornhill,Bodies,
2025-04-08,Necrophobic,Nordanvind (EP),
2025-04-11,Annisokay,Abyss Pt. II (EP),
2025-04-11,Elvenking,Reader of the Runes – Luna,
2025-04-11,Epica,Aspiral,
2025-04-11,In the Woods...,Otra,
2025-04-11,The Lord Weird Slough Feg,Traveller Supplement 1: The Ephemeral Glades (EP),
2025-04-11,The Man-Eating Tree,Night Verses,
2025-04-11,Mark Morton,Without the Pain,
2025-04-11,Within Destruction,Animetal,
2025-04-17,Quartz,Six,
2025-04-18,Divide and Dissolve,Insatiable,
2025-04-18,Gama Bomb,Necronomicon Automaton (EP),
2025-04-18,Teramaze,The Harmony Machine,
2025-04-20,Heavy Heavy Low Low,Pain Olympics,
2025-04-23,Ave Mujica,Completeness,
2025-04-25,Big Brave,OST,
2025-04-25,Cadaver,Hymns of Misanthropy,
2025-04-25,Caliban,Back from Hell,
2025-04-25,Cancer,Inverted World,
2025-04-25,Cirith Ungol,Live at the Roxy (live album),
2025-04-25,Conan,Violence Dimension,
2025-04-25,Eluveitie,Ànv,
2025-04-25,Employed to Serve,Fallen Star,
2025-04-25,Ghost,Skeletá,
2025-04-25,Harem Scarem,Chasing Euphoria,
2025-04-25,Hate Forest,Against All Odds,
2025-04-25,Jack Starr,"Out of the Darkness, Part II",
2025-04-25,Kanonenfieber,Live in Oberhausen (live album),
2025-04-25,Landmvrks,The Darkest Place I've Ever Been,
2025-04-25,Liv Kristine,Amor Vincit Omnia,
2025-04-25,Machine Head,Unatøned,
2025-04-25,Pagan Altar,Never Quite Dead,
2025-04-25,Profanatica,Wreathed in Dead Angels (EP),
2025-04-25,Sacred Steel,Ritual Supremacy,
2025-04-25,The Storyteller,The Final Stand,
2025-04-25,Sumac / Moor Mother,The Film,
2025-04-25,Trick or Treat,Ghosted,
2025-04-25,Wednesday 13,Mid Death Crisis,
2025-04-25,Yngwie Malmsteen,Tokyo Live (live album),
2025-05-01,Death SS,The Entity,
2025-05-02,Bleed,Bleed,
2025-05-02,Crematory,Destination,
2025-05-02,Hate,Bellum Regiis,
2025-05-02,Nightfall,Children of Eve,
2025-05-02,Propagandhi,At Peace,
2025-05-02,Puddle of Mudd,Kiss the Machine,
2025-05-09,Behemoth,The Shit Ov God,
2025-05-09,Candlemass,Black Star (EP),
2025-05-09,Ghost Bath,Rose Thorn Necklace,
2025-05-09,Haken,Liveforms: An Evening with Haken (live album),
2025-05-09,Novelists,Coda,
2025-05-09,Sleep Token,Even in Arcadia,
2025-05-09,Tetrarch,The Ugly Side of Me,
2025-05-12,Chthonic,Megaportal 2425 (EP),
2025-05-16,Bury Tomorrow,"Will You Haunt Me, with That Same Patience",
2025-05-16,The Callous Daoboys,I Don't Want to See You in Heaven,
2025-05-16,Confessions of a Traitor,This Pain Will Serve You,
2025-05-16,Full of Hell,"Broken Sword, Rotten Shield (EP)",
2025-05-16,Mares of Thrace,The Loss,
2025-05-16,Pelican,Flickering Resonance,
2025-05-16,Sleep Theory,Afterglow,
2025-05-16,Steve Von Till,Alone in a World of Wounds,
2025-05-16,Tarja,Circus Life (live album),
2025-05-16,Waltari,Nations' Neurosis,
2025-05-23,...And Oceans,The Regeneration Itinerary,
2025-05-23,Onslaught,Origins of Aggression,
2025-05-23,Ronnie Romero,Live at Rock Imperium Festival (live album),
2025-05-23,Witchcraft,Idag,
2025-05-23,Year of No Light,Les Maîtres Fous (live album),
2025-05-30,Bloodhorse,A Malign Star,
2025-05-30,The Haunted,Songs of Last Resort,
2025-05-30,Hed PE,New and Improved (covers album),
2025-05-30,Rivers of Nihil,Rivers of Nihil,
2025-05-30,Stray from the Path,Clockworked,
2025-05-30,Vader,Humanihility (EP),
2025-05-30,Vildhjarta,+ Där skogen sjunger under evighetens granar +,
2025-05-30,Wolves at the Gate,Wasteland,
2025-05-30,Wormrot,TNT (live album),
2025-06-06,Battlesnake,Dawn of the Exultants and the Hunt for the Shepherd,
2025-06-06,Dawn of Ashes,Infecting the Scars,
2025-06-06,Gaahls Wyrd,Braiding the Stories,
2025-06-06,Katatonia,Nightmares as Extensions of the Waking State,
2025-06-06,King Parrot,A Young Person's Guide to King Parrot,
2025-06-06,Mystic Circle,Kriegsgötter MMXXV (compilation album),
2025-06-06,Ophiolatry,Serpent's Verdict,
2025-06-06,Orthodox,A Door Left Open,
2025-06-06,Volbeat,God of Angels Trust,
2025-06-09,King 810,Rustbelt Nu Metal,
2025-06-13,Byzantine,Harbingers,
2025-06-13,Fairyland,The Story Remains,
2025-06-13,Fallujah,Xenotaph,
2025-06-13,The Hu,Echos of Thunder (EP),
2025-06-13,Ice Nine Kills,I Heard They Kill Live 2 (live album),
2025-06-13,King Gizzard & the Lizard Wizard,Phantom Island,
2025-06-13,Saxon,Eagles Over Hellfest (live album),
2025-06-13,Sigh,I Saw the World's End – Hangman's Hymn MMXXV (re-recorded album),
2025-06-20,Alestorm,The Thunderfist Chronicles,
2025-06-20,Black Majesty,Oceans of Black,
2025-06-20,Cryptopsy,An Insatiable Violence,
2025-06-20,Helheim,HrabnaR / Ad Vesa,
2025-06-20,Jamie's Elsewhere,Alchemical (EP),
2025-06-20,Malevolence,Where Only the Truth Is Spoken,
2025-06-27,Botch,061524 (live album),
2025-06-27,Crystal Viper,The Live Quest (live album),
2025-06-27,Deadguy,Near-Death Travel Services,
2025-06-27,Heaven Shall Burn,Heimat,
2025-06-27,Higher Power,There's Love in This World If You Want It,
2025-06-27,Lord Belial,Unholy Trinity,
2025-06-27,Motörhead,The Manticore Tapes (compilation album),
2025-06-27,Shadow of Intent,Imperium Delirium,
2025-06-27,Sodom,The Arsonist,
2025-06-27,Warlord,The Lost Archangel (compilation album),
2025-07-04,Visions of Atlantis,Armada Live Over Europe (live album),
2025-07-04,Warkings,Armageddon,
2025-07-04,Wytch Hazel,V: Lamentations,
2025-07-11,Beartooth,I Was a... Live (live album),
2025-07-11,Born of Osiris,Through Shadows,
2025-07-11,Bring Me the Horizon,Lo-Files (remix album),
2025-07-11,Calva Louise,Edge of the Abyss,
2025-07-11,Diamond Head,Live and Electric (live album),
2025-07-11,Enter Shikari,Live at Wembley (live album),
2025-07-11,Hell,Submersus,
2025-07-11,Split Chain,Motionblur,
2025-07-18,Abigail Williams,A Void Within Existence,
2025-07-18,Ashes of Ares,New Messiahs,
2025-07-18,Daron Malakian and Scars on Broadway,Addicted to the Violence,
2025-07-18,Five Finger Death Punch,Best Of – Volume 1 (re-recorded compilation album),
2025-07-18,Obituary,Godly Beings (box set),
2025-07-18,Slaughter to Prevail,Grizzly,
2025-07-22,Heaven Below,The Majestic Twelve,
2025-07-25,Beheaded,Għadam,
2025-07-25,Black Magnet,Megamantra,
2025-07-25,Enuff Z'Nuff,Xtra Cherries,
2025-07-25,Gwar,The Return of Gor Gor (EP),
2025-08-01,Accvsed,Dealers of Doom,
2025-08-01,The Armed,The Future Is Here and Everything Needs to Be Destroyed,
2025-08-01,Car Bomb,Tiles Whisper Dreams (EP),
2025-08-01,Fit for a King,Lonely God,
2025-08-01,Kayo Dot,"Every Rock, Every Half-Truth Under Reason",
2025-08-01,Oni,Genesis Pt. II (EP),
2025-08-01,To the Grave,Everyone's Still a Murderer (EP),
2025-08-05,Aversions Crown,A Voice from the Outer Dark (EP),
2025-08-08,Attack Attack!,Attack Attack! II,
2025-08-08,Babymetal,Metal Forth,
2025-08-08,Blackbraid,Blackbraid III,
2025-08-08,Dropout Kings,Yokai,
2025-08-08,Halestorm,Everest,
2025-08-08,Lord of the Lost,Opvs Noir Vol. 1,
2025-08-08,Sinsaenum,In Devastation,
2025-08-15,Baest,Colossal,
2025-08-15,Chevelle,Bright as Blasphemy,
2025-08-15,Ellefson–Soto,Unbreakable,
2025-08-15,Grand Cadaver,The Rot Beneath (EP),
2025-08-15,Incite,Savage New Times,
2025-08-15,Justice for the Damned,Stay Relentless,
2025-08-15,Mono Inc.,Darkness,
2025-08-15,Panopticon,Laurentian Blue,
2025-08-15,Unleashed,Fire Upon Your Lands,
2025-08-15,Warmen,Band of Brothers,
2025-08-22,Arcadea,The Exodus of Gravity,
2025-08-22,Blackbriar,A Thousand Little Deaths,
2025-08-22,Burning Witches,Inquisition,
2025-08-22,Deftones,Private Music,
2025-08-22,Desaster,Kill All Idols,
2025-08-22,Feuerschwanz,Knightclub,
2025-08-22,Iron Savior,Reforged – Machine World,
2025-08-22,Mob Rules,Rise of the Ruler,
2025-08-22,Myrath,Reflections (compilation album),
2025-08-22,Panzerchrist,Meleficium Part 2,
2025-08-22,Signs of the Swarm,To Rid Myself of Truth,
2025-08-22,Three Days Grace,Alienation,
2025-08-22,We Came as Romans,All Is Beautiful... Because We're Doomed,
2025-08-22,"Woe, Is Me",Daybreak,
2025-08-29,Helloween,Giants & Monsters,
2025-08-29,In Mourning,The Immortal,
2025-08-29,Månegarm,Edsvuren,
2025-08-29,Vicious Rumors,The Devil's Asylum,
2025-09-05,Before the Dawn,Cold Flare Eternal,
2025-09-05,Bent Sea,The Dormant Ruin,
2025-09-05,Blessthefall,Gallows,
2025-09-05,Dark Angel,Extinction Level Event,
2025-09-05,Eleine,We Stand United (EP),
2025-09-05,Glenn Hughes,Chosen,
2025-09-05,Green Carnation,"A Dark Poem, Part I: The Shores of Melancholia",
2025-09-05,Primal Fear,Domination,
2025-09-05,Tallah,Primeval: Obsession // Detachment,
2025-09-05,Ten56.,IO,
2025-09-05,Violator,Unholy Retribution,
2025-09-12,Arjen Anthony Lucassen,Songs No One Will Hear,
2025-09-12,Between the Buried and Me,The Blue Nowhere,
2025-09-12,Demon Hunter,There Was a Light Here,
2025-09-12,Der Weg einer Freiheit,Innern,
2025-09-12,Helstar,The Devil's Masquerade,
2025-09-12,I See Stars,The Wheel,
2025-09-12,Lorna Shore,I Feel the Everblack Festering Within Me,
2025-09-12,Mötley Crüe,From the Beginning (compilation album),
2025-09-12,Nevertel,Start Again,
2025-09-12,Not Enough Space,Weaponize Your Rage,
2025-09-12,Spinal Tap,The End Continues,
2025-09-12,Sweet Savage,Bang,
2025-09-19,A Killer's Confession,Victim 2,
2025-09-19,Ded,Resent,
2025-09-19,Heretoir,Solastalgia,
2025-09-19,I Prevail,Violent Nature,
2025-09-19,Igorrr,Amen,
2025-09-19,Kittie,Spit XXV (EP),
2025-09-19,Novembers Doom,Major Arcana,
2025-09-19,Panopticon,The Poppies Bloom for No King (EP),
2025-09-19,Paradise Lost,Ascension,
2025-09-19,Stoned Jesus,Songs to Sun,
2025-09-19,Wolfheart,Draconian Darkness II (EP),
2025-09-26,Amorphis,Borderland,
2025-09-26,Dying Wish,Flesh Stays Together,
2025-09-26,From Fall to Spring,Entry Wounds,
2025-09-26,Mors Principium Est,Darkness Invisible,
2025-09-26,Paradox,Mysterium,
2025-09-26,PeelingFlesh,PF Radio 2 (EP),
2025-09-26,President,King of Terrors (EP),
2025-09-26,Rage,A New World Rising,
2025-09-26,Revocation,"New Gods, New Masters",
2025-09-26,Scorpions,From the First Sting (compilation album),
2025-09-26,Vintersorg,Vattenkrafternas Spel,
2025-09-30,Ribspreader,As Gods Devour,
2025-10-03,Agriculture,The Spiritual Sound,
2025-10-03,Author & Punisher,Nocturnal Birding,
2025-10-03,Bloodred Hourglass,We Should Be Buried Like This,
2025-10-03,Hooded Menace,Lachrymose Monuments of Obscuration,
2025-10-03,Michael Schenker Group,Don't Sell Your Soul,
2025-10-03,Kirk Windstein,Ethereal Waves,
2025-10-03,Ofermod,Drakosophia,
2025-10-03,Orbit Culture,Death Above Life,
2025-10-03,OvO,Gemma,
2025-10-03,Solence,Angels Calling,
2025-10-03,Today Is the Day,Never Give In,
2025-10-03,Vernon Reid,Hoodoo Telemetry,
2025-10-03,Vimic,Open Your Omen,
2025-10-10,40 Below Summer,Untethered,
2025-10-10,John 5,Ghost,
2025-10-10,Nils Patrik Johansson,War and Peace,
2025-10-10,Sanguisugabogg,Hideous Aftermath,
2025-10-10,Testament,Para Bellum,
2025-10-14,Sunn O))),Eternity’s Pillars b/w Raise the Chalice & Reverential (EP),
2025-10-17,Age of Ruin,Nothingman,
2025-10-17,Battle Beast,Steelbound,
2025-10-17,Biohazard,Divided We Fall,
2025-10-17,Carach Angren,The Cult of Kariba (EP),
2025-10-17,Coroner,Dissonance Theory,
2025-10-17,Erdling,Mana,
2025-10-17,Evoken,Mendacium,
2025-10-17,Extortionist,Stare into the Seething Wounds,
2025-10-17,Human Fortress,Stronghold,
2025-10-17,Immortal Disfigurement,Hell Is Right in Front of Us (EP),
2025-10-17,Internal Bleeding,Settle All Scores,
2025-10-17,Sabaton,Legends,
2025-10-17,Tombs,Feral Darkness,
2025-10-17,Unto Others,I Believe in Halloween II (EP),
2025-10-17,Wretched,Decay,
2025-10-24,The Acacia Strain,You Are Safe from God Here,
2025-10-24,Adept,Blood Covenant,
2025-10-24,Centinex,With Guts and Glory,
2025-10-24,Coldrain,Optimize (EP),
2025-10-24,Conjurer,Unself,
2025-10-24,Dayseeker,Creature in the Black Night,
2025-10-24,Doro,Warriors of the Sea (compilation album),
2025-10-24,Ektomorf,Heretic,
2025-10-24,Five Finger Death Punch,Best Of – Volume 2 (compilation album of re-recordings),
2025-10-24,Leprous,An Evening of Atonement (live album),
2025-10-24,Nine Treasures,Seeking the Absolute,
2025-10-24,Ronnie Romero,Backbone,
2025-10-24,Seraina Telli,Green,
2025-10-24,Serj Tankian,"Covers, Collaborations & Collages (compilation album)",
2025-10-24,Soulfly,Chama,
2025-10-24,Sumo Cyco,Neon Void,
2025-10-24,Warrant,The Speed of Metal,
2025-10-24,Wino,Create or Die,
2025-10-31,Aria,When Tomorrow Comes,
2025-10-31,Avatar,Don't Go in the Forest,
2025-10-31,Aviana,Void,
2025-10-31,Despised Icon,Shadow Work,
2025-10-31,King 810,Rustbelt Numetal 2,
2025-10-31,Moonspell,Opus Diabolicum (live album),
2025-10-31,Mystic Circle,Hexenbrand 1486,
2025-10-31,Primitive Man,Observance,
2025-10-31,Runemagick,Cycle of the Dying Sun (Dawn of Ashen Realms),
2025-10-31,Smash into Pieces,Armaheaven,
2025-10-31,Trivium,Struck Dead (EP),E
2025-11-07,Agnostic Front,Echoes in Eternity,
2025-11-07,Alcatrazz,Prior Convictions,
2025-11-07,Astronoid,Stargod,
2025-11-07,Drain,...Is Your Friend,
2025-11-07,Esprit D'Air,Aeons,
2025-11-07,Finger Eleven,Last Night on Earth,
2025-11-07,Novembre,Words of Indigo,
2025-11-07,Omnium Gatherum,May the Bridges We Burn Light the Way,
2025-11-07,Pupil Slicer,Fleshwork,
2025-11-14,1914,Viribus Unitis,
2025-11-14,The Devil Wears Prada,Flowers,
2025-11-14,Of Mice & Men,Another Miracle,
2025-11-20,AngelMaker,This Used to Be Heaven,
2025-11-21,Bloodbound,Field of Swords,
2025-11-21,Dream Theater,Dream Theater Vol. 3 (box set),
2025-11-21,The Halo Effect,We Are Shadows (covers EP),
2025-11-21,Sortilège,Le Poids de L’Âme,
2025-11-21,Stryper,The Greatest Gift of All,
2025-11-21,Treat,The Wild Card,
2025-11-26,Master's Hammer,Maldorör Disco,
2025-11-28,1349,Winter Mass (live album),
2025-11-28,Blut Aus Nord,Ethereal Horizons,
2025-11-28,Dream Theater,Quarantième: Live à Paris (live album),
2025-11-28,Equilibrium,Equinox,
2025-11-28,Lynch Mob,Dancing with the Devil,
2025-12-05,Blood Red Throne,Siltskin,
2025-12-05,Enthroned,Ashspawn,
2025-12-05,Persefone,Live in Andorra (live album),
2025-12-05,Tesseract,Radar (live album),
2025-12-12,Dangerous Toys,Demolition (compilation album),
2025-12-12,Lord of the Lost,Opvs Noir Vol. 2,
